epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,508.436,2.15948,2.35066,1.50298,0.57231,0.50475,0.52311,0.22832,1.85797,1.73966,1.34191,0.00055504,0.00055504,0.00055504
2,956.273,1.94969,1.85343,1.39738,0.48581,0.42788,0.41811,0.15866,2.05019,1.90642,1.47711,0.00105573,0.00105573,0.00105573
3,1380.21,1.89254,1.74978,1.36744,0.55662,0.53533,0.48887,0.14534,2.26766,1.74862,1.6519,0.0015014,0.0015014,0.0015014
4,1820.19,1.86689,1.70296,1.35522,0.57066,0.59152,0.56164,0.21753,1.96947,1.5901,1.42517,0.00141945,0.00141945,0.00141945
5,2181.77,1.82129,1.58951,1.33777,0.60804,0.55021,0.56319,0.18172,2.15087,1.61517,1.53534,0.00133693,0.00133693,0.00133693
6,2505.46,1.79309,1.54874,1.31185,0.70763,0.55589,0.59091,0.21813,2.00538,1.46887,1.44967,0.00125442,0.00125442,0.00125442
7,2827.19,1.75745,1.46882,1.29972,0.66252,0.58473,0.60811,0.20474,2.21332,1.3855,1.55544,0.0011719,0.0011719,0.0011719
8,3148.62,1.74125,1.45679,1.29337,0.70147,0.61344,0.63793,0.2175,2.12353,1.43163,1.48411,0.00108938,0.00108938,0.00108938
9,3467.15,1.70728,1.40498,1.27384,0.70967,0.59239,0.66223,0.25426,1.99562,1.35531,1.4395,0.00100687,0.00100687,0.00100687
10,3783.83,1.68956,1.37084,1.26899,0.64589,0.63043,0.62056,0.2109,2.21313,1.35129,1.55573,0.000924352,0.000924352,0.000924352
11,4094.66,1.6565,1.30183,1.26868,0.6555,0.65163,0.62328,0.22991,2.11384,1.35145,1.48797,0.000841835,0.000841835,0.000841835
12,4406.07,1.65289,1.27241,1.26538,0.71327,0.69473,0.71981,0.27846,1.98232,1.20388,1.42194,0.000759318,0.000759318,0.000759318
13,4717.72,1.61517,1.21141,1.25514,0.74688,0.6712,0.68318,0.26846,1.98984,1.20782,1.43758,0.000676802,0.000676802,0.000676802
14,5028.26,1.60633,1.18958,1.24356,0.70178,0.62636,0.64935,0.22737,2.14408,1.2081,1.49348,0.000594286,0.000594286,0.000594286
15,5339.29,1.57849,1.14884,1.22879,0.77843,0.65516,0.69743,0.2835,1.92047,1.1562,1.39897,0.000511769,0.000511769,0.000511769
16,5650.32,1.55752,1.11576,1.2227,0.72123,0.72671,0.73513,0.2893,1.92669,1.16074,1.38431,0.000429253,0.000429253,0.000429253
17,5960.18,1.53522,1.08391,1.20995,0.7214,0.6788,0.68092,0.24696,2.1292,1.15337,1.49305,0.000346736,0.000346736,0.000346736
18,6271.54,1.52952,1.06052,1.20199,0.79797,0.65054,0.71742,0.27897,1.97998,1.15579,1.40896,0.00026422,0.00026422,0.00026422
19,6587.54,1.50269,1.03117,1.18748,0.80448,0.69614,0.7569,0.30009,1.94042,1.07177,1.37711,0.000181703,0.000181703,0.000181703
20,6904.5,1.4903,1.01611,1.18118,0.77279,0.70085,0.74355,0.28736,2.0166,1.05834,1.41862,9.91865e-05,9.91865e-05,9.91865e-05
